Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691572
,BSI.M.U2.N.V.L21.A.4.U2.2240.Z01.E,BSI.M.U2.N.V.L21.A.4.U2.2250.Z01.E,BSI.M.U2.N.V.L21.A.I.U2.2120.Z01.A,BSI.M.U2.N.V.L21.A.I.U2.2200.Z01.A,BSI.M.U2.N.V.L21.A.I.U2.2240.Z01.A,BSI.M.U2.Y.V.L21.A.I.U2.2300.Z01.A,BSI.M.U2.Y.V.M10.X.4.U2.2300.Z01.E,BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A
,"Neither seasonally nor working day adjusted, Overnight deposits, Total, Financial transactions (flows), Non-Financial corporations (S.11), Euro","Neither seasonally nor working day adjusted, Overnight deposits, Total, Financial transactions (flows), Households and non-profit institutions serving households (S.14 and S.15), Euro","Neither seasonally nor working day adjusted, Overnight deposits, Total, Index of Notional Stocks, Other General Government, Annual growth rate","Neither seasonally nor working day adjusted, Overnight deposits, Total, Index of Notional Stocks, Non-MFIs excluding general government, Annual growth rate","Neither seasonally nor working day adjusted, Overnight deposits, Total, Index of Notional Stocks, Non-Financial corporations (S.11), Annual growth rate","Working day and seasonally adjusted, Overnight deposits, Total, Index of Notional Stocks, Non-MFIs excluding central government, Annual growth rate","Working day and seasonally adjusted, Monetary aggregate M1, Financial transactions (flows), Non-MFIs excluding central government, Euro","Working day and seasonally adjusted, Monetary aggregate M1, Index of Notional Stocks, Non-MFIs excluding central government, Annual growth rate"
Collection:,Summed through period (S),Summed through period (S),End of period (E),End of period (E),End of period (E),End of period (E),Summed through period (S),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Millions of Euro],[Percentage change ]
2020Aug,36162,10205,14.7,13.4,20.5,13.7,71246,13.2
2020Jul,38676,50639,14.1,14.2,21.6,14.1,159120,13.5
2020Jun,32893,36367,11.2,13.0,20.2,13.1,76446,12.6
2020May,103345,66150,10.4,13.5,19.5,13.0,122996,12.5
2020Apr,83049,91637,7.1,12.5,16.2,12.5,166162,11.9
2020Mar,113931,51081,6.6,10.9,11.8,10.9,274953,10.4
2020Feb,19857,48646,6.4,9.0,9.6,8.6,89672,8.1
2020Jan,-58747,4525,5.7,8.4,8.4,8.3,24028,7.9
2019Dec,94,33393,8.4,8.6,8.7,8.5,15740,8.0
2019Nov,41998,55604,6.7,9.3,10.3,8.8,48093,8.3
2019Oct,24086,22353,5.0,9.1,9.1,9.0,74767,8.4
2019Sep,-14313,5381,6.9,8.3,7.8,8.5,35579,7.9
2019Aug,47685,23130,7.1,9.4,10.2,9.0,88104,8.4
2019Jul,9234,15614,7.4,8.1,8.6,8.3,72750,7.8
2019Jun,15203,54737,10.7,7.5,7.1,7.7,57953,7.2
2019May,32268,37114,7.9,7.6,6.9,7.5,59832,7.1
2019Apr,-1131,29201,8.6,7.8,7.1,7.7,34982,7.4
2019Mar,65218,38237,12.6,7.7,7.3,7.7,78799,7.5
2019Feb,-3959,39348,6.9,6.9,6.1,6.9,64218,6.7
2019Jan,-48919,108,5.1,6.5,4.7,6.5,28969,6.2
2018Dec,29237,64432,5.8,6.8,5.7,7.0,40662,6.6
2018Nov,17627,36705,8.8,7.1,5.6,7.1,49117,6.7
2018Oct,-434,7434,6.9,7.1,6.1,7.3,35667,6.8
2018Sep,27567,23525,8.5,7.2,6.5,7.3,69404,6.8
2018Aug,17431,11034,6.2,7.1,6.7,6.9,35194,6.5
2018Jul,-17233,-1873,6.2,7.7,7.1,7.5,26042,7.0
2018Jun,9672,61198,9.2,8.3,7.9,8.0,47262,7.4
2018May,34399,26312,7.4,8.4,9.0,8.3,71705,7.5
2018Apr,1220,33704,8.6,7.5,8.3,7.8,40004,7.1
2018Mar,42452,35328,10.0,8.4,8.8,8.3,14531,7.4
2018Feb,-27731,31059,9.7,9.1,9.0,9.4,29413,8.4
2018Jan,-30582,-17703,10.5,9.5,10.8,9.8,56441,8.8
